id;code;libelle;date;montant
1;North Korean Won;tan;2021-08-14T12:45:31;44518
2;Tools definition Orchestrator;input;2021-08-14T15:38:40;57924
3;Chips;copy;2021-08-14T14:35:18;8536
4;Liaison Pennsylvania;CFA Franc BEAC;2021-08-14T19:14:03;99104
5;Rand Namibia Dollar generate;Towels hacking;2021-08-14T08:01:33;56694
6;turquoise Gardens;firewall;2021-08-14T08:54:31;31473
7;optical;Electronics Avon;2021-08-14T07:26:52;8653
8;Road moderator Bike;Keyboard;2021-08-14T11:25:38;36400
9;Egyptian Pound Indiana;Future;2021-08-14T03:06:56;47663
10;overriding Lead;open-source Gloves;2021-08-14T10:33:55;49288
