id;code;libelle;somme_min;somme_max;somme;statut;type_caisse
1;platforms Chief back up;bricks-and-clicks Rustic Christmas Island;42029;50529;20803;INACTIF;PRINCIPALE
2;Investment Account Jordanian Dinar payment;Human Colombian Peso Unidad de Valor Real;70492;411;47037;OUVERT;CENTRALE
3;South Carolina;Small Concrete Cheese solutions pixel;18961;45757;54942;ACTIF;PRINCIPALE
4;Developer Intranet;bricks-and-clicks Balanced Cross-group;26580;516;56506;OUVERT;PRINCIPALE
5;Lilangeni;Digitized Future;39975;77611;15337;INACTIF;SECONDAIRE
6;Bacon functionalities Bedfordshire;deposit Metal;60480;738;9652;INACTIF;SECONDAIRE
7;knowledge base interface;navigating driver;6583;32884;20857;OUVERT;SECONDAIRE
8;innovate Gorgeous Concrete Shirt innovate;Springs;42034;46114;16157;ACTIF;SECONDAIRE
9;Licensed;Practical;77962;15259;81028;ACTIF;PRINCIPALE
10;deposit hack Saudi Arabia;Granite hacking;45273;51894;7871;OUVERT;PRINCIPALE
