id;code;libelle;date;somme;date_livraison_prevu;etat;motif;avance;avance_en_percent
1;back-end Vermont;card calculating;2021-08-14T07:36:39;77157;2021-08-13T22:33:42;ANNULER;Assistant Auto Loan Account systems;22542;true
2;port partnerships connecting;Mississippi;2021-08-14T02:29:57;48905;2021-08-14T15:39:40;VALIDER;Brand;34575;true
3;exploit customized circuit;Cordoba Oro;2021-08-14T07:51:02;48327;2021-08-14T13:45:21;PROVISOIRE;Station Quality Vietnam;76570;true
4;Mauritius;end-to-end mindshare deposit;2021-08-14T08:13:42;82278;2021-08-14T08:01:54;PROVISOIRE;backing up;80729;false
5;hacking granular EXE;Dynamic Licensed;2021-08-14T16:47:00;68191;2021-08-14T04:57:54;ANNULER;Metal Berkshire;39808;true
6;Awesome Buckinghamshire bi-directional;wireless;2021-08-14T21:38:28;86826;2021-08-14T04:08:02;PROVISOIRE;virtual Hawaii hack;40327;false
7;moderator Shoes;microchip Infrastructure;2021-08-14T09:29:48;28114;2021-08-14T09:41:57;PROVISOIRE;quantify hacking Toys;79042;false
8;Wisconsin connect ADP;bandwidth;2021-08-14T19:43:02;6367;2021-08-14T15:19:06;ANNULER;Planner Camp Home Loan Account;89200;false
9;hack program pixel;experiences core;2021-08-14T11:35:53;46372;2021-08-14T18:24:18;PROVISOIRE;Ergonomic payment mobile;73674;false
10;TCP auxiliary;index;2021-08-14T08:48:14;18691;2021-08-14T09:40:51;ANNULER;Toys;15382;true
