id;libelle;description;salaire_min;salaire_max
1;Communications;China Beauty;1838;34784
2;Handcrafted scalable array;quantifying mobile Representative;14022;81197
3;fuchsia Trail invoice;Ethiopian Birr;53160;56090
4;Open-source;sticky Credit Card Account protocol;59619;58302
5;Route;District;46571;67190
6;Horizontal;Soft Sports model;64883;78714
7;vortals;Wall;29644;91207
8;Concrete;deposit;71902;97532
9;Avon cross-platform;invoice;5794;74999
10;Tools Missouri Unbranded;e-services invoice;18874;81614
