id;code;libelle;date;somme;etat;motif
1;Executive Czech Koruna Accountability;cross-platform Savings Account;2021-08-14T05:46:26;10292;VALIDER;Grocery
2;Direct purple Ireland;deposit;2021-08-14T03:12:57;72989;ANNULER;Home Loan Account virtual
3;fuchsia;viral Checking Account;2021-08-13T22:06:06;70767;VALIDER;synthesizing
4;Chicken Group Handmade Fresh Hat;transmitter Moldovan Leu;2021-08-14T00:28:55;87802;PROVISOIRE;invoice
5;National;Ethiopian Birr eco-centric systems;2021-08-14T03:50:49;56148;PROVISOIRE;Facilitator
6;Bolivia Credit Card Account;Ergonomic Soft Sausages access array;2021-08-14T02:20:10;99139;PROVISOIRE;Intuitive back up alarm
7;utilize integrated back-end;bus matrix;2021-08-14T16:25:33;99789;VALIDER;Democratic People's Republic of Korea rich Sausages
8;Handmade Granite Salad Product Freeway;Money Market Account dynamic withdrawal;2021-08-14T15:16:34;23450;VALIDER;Unbranded Frozen Shoes Handcrafted Savings Account
9;withdrawal pixel;solution-oriented Auto Loan Account Puerto Rico;2021-08-14T15:55:02;67020;VALIDER;Future Salad Bolivia
10;Response;Credit Card Account Maryland;2021-08-14T02:49:31;45726;VALIDER;eyeballs
