id;date_debut;date_fin;prix;statut
1;2021-08-14T21:22:08;2021-08-14T15:03:32;9476;ACTIF
2;2021-08-14T12:08:31;2021-08-14T13:28:15;80712;INACTIF
3;2021-08-14T00:46:05;2021-08-14T05:17:17;32562;ACTIF
4;2021-08-14T03:20:50;2021-08-14T01:33:10;40896;INACTIF
5;2021-08-14T20:15:48;2021-08-14T03:43:26;92587;ACTIF
6;2021-08-14T01:01:04;2021-08-14T12:35:30;43687;ACTIF
7;2021-08-14T01:25:24;2021-08-14T13:41:10;10872;INACTIF
8;2021-08-14T21:54:21;2021-08-14T15:50:41;85585;INACTIF
9;2021-08-14T12:10:24;2021-08-14T19:27:59;65102;ACTIF
10;2021-08-14T12:09:42;2021-08-13T22:50:27;77940;FERME
