id;libelle;description
1;primary driver;Burkina Faso Specialist
2;withdrawal 24/365;British Indian Ocean Territory (Chagos Archipelago) synthesize Kids
3;Internal;Crest strategic Checking Account
4;Rustic Louisiana withdrawal;teal Tasty
5;synthesize;Awesome North Carolina
6;fuchsia SCSI;standardization microchip
7;calculate Oregon;fuchsia Row Handmade Frozen Computer
8;Credit Card Account Investment Account;deposit
9;Generic;white Denmark ADP
10;input capacitor maroon;Savings Account system-worthy Refined Soft Shirt
