id;code;libelle;date_debut;date_fin;somme_debut;somme_fin;depassement;manquant;statut
1;22383;Sri Lanka Rupee Auto Loan Account;2021-08-14T01:45:04;2021-08-14T21:03:01;95725;39862;77017;98853;OUVERT
2;26536;synergies Borders Licensed Plastic Towels;2021-08-14T02:51:03;2021-08-14T09:58:56;78373;29535;76273;25487;ACTIF
3;48627;Officer projection Dynamic;2021-08-14T12:19:45;2021-08-14T06:57:04;71427;79649;76170;67890;INACTIF
4;39168;Intelligent Concrete Shirt methodologies Buckinghamshire;2021-08-14T17:32:11;2021-08-14T02:20:40;58069;63204;51100;36481;ACTIF
5;55846;Generic Concrete Hat;2021-08-14T05:11:57;2021-08-14T01:05:17;440;76228;92062;78621;INACTIF
6;60980;Seamless Unbranded Plastic Sausages;2021-08-14T02:19:47;2021-08-14T03:07:37;20554;1598;30778;75079;FERME
7;33436;Steel Credit Card Account Bermudian Dollar (customarily known as Bermuda Dollar);2021-08-13T22:45:06;2021-08-14T08:09:57;5805;21246;62323;40960;INACTIF
8;56642;functionalities;2021-08-14T08:48:20;2021-08-14T13:31:56;21313;45619;46024;97831;ACTIF
9;79563;quantifying;2021-08-14T09:48:45;2021-08-14T09:11:06;17649;49052;22850;6913;FERME
10;31898;Washington RAM granular;2021-08-14T07:14:11;2021-08-14T02:04:26;21850;75660;70268;561;FERME
