id;code;date;quantite;prix_unitaire;type_transaction;etat;motif
1;Kentucky;2021-08-14T14:54:05;7182;9490;COMMANDE;ANNULER;parsing Buckinghamshire orchestrate
2;Estates Kids;2021-08-14T03:15:19;38347;39660;APPROVISIONNEMENT;ANNULER;Checking Account
3;Executive Automotive;2021-08-14T09:10:05;63183;59276;LIVRAISON;PROVISOIRE;navigating scalable
4;Course;2021-08-14T21:22:40;99687;82194;APPROVISIONNEMENT;PROVISOIRE;Bedfordshire programming
5;programming deliver withdrawal;2021-08-14T16:13:15;24516;8497;COMMANDE;PROVISOIRE;CFA Franc BEAC
6;plum Clothing port;2021-08-14T12:00:31;72528;91887;VENTE;PROVISOIRE;models South Carolina
7;Networked Tools Svalbard & Jan Mayen Islands;2021-08-13T23:28:21;41000;88171;LIVRAISON;VALIDER;Industrial Danish Krone Producer
8;Awesome Personal Loan Account;2021-08-14T01:02:35;4088;49489;LIVRAISON;ANNULER;Alabama
9;Malaysia;2021-08-14T05:50:52;87677;87982;COMMANDE;PROVISOIRE;synergies Operations
10;Borders;2021-08-14T13:49:17;41423;878;APPROVISIONNEMENT;PROVISOIRE;Pants program
