id;libelle;code;date;montant;reste;solder
1;programming asynchronous;strategic withdrawal Auto Loan Account;2021-08-14T08:54:24;27232;9927;false
2;Texas Oklahoma;Profit-focused Response Mississippi;2021-08-14T21:33:32;33635;87581;true
3;Lead PCI;Administrator Saint Helena Pound Cheese;2021-08-14T09:51:20;46318;52090;true
4;Handcrafted Data;Beauty Incredible Steel Shirt;2021-08-14T03:52:26;26279;58549;true
5;5th generation;e-business Avon users;2021-08-14T21:02:46;79062;97778;false
6;Silver transmitting;User-friendly Frozen Maldives;2021-08-14T11:07:22;90087;26174;false
7;Yuan Renminbi feed;content Intuitive parse;2021-08-14T17:57:03;26381;54455;true
8;Chief;feed Regional Incredible;2021-08-13T22:53:53;55888;30282;true
9;Usability Synergistic primary;ROI;2021-08-14T08:39:50;54600;47811;false
10;Intelligent;Future-proofed Gorgeous;2021-08-14T06:06:09;31723;90842;true
